Ticker,Date,Open,High,Low,Close,Volume
SPY,2025-02-21,603.0779731626286,603.2163626901448,592.5120473575615,592.9766235351562,76519800
SPY,2025-02-24,595.0323661026961,596.0306526731238,589.5665239207386,590.2781982421875,50737200
SPY,2025-02-25,590.2190314712642,590.9504327968516,582.7171004383193,587.3427734375,58266500
SPY,2025-02-26,589.0130409225576,592.620699550235,584.9902741209554,587.63916015625,43321600
SPY,2025-02-27,589.9224264999975,591.0788899188873,577.8640783507352,578.2593994140625,74196700
SPY,2025-02-28,578.7635029554216,587.8171578604871,575.6797210871997,587.283447265625,88744100
SPY,2025-03-03,589.2601945949107,590.4067643806418,573.1691862018861,576.9942626953125,74249200
SPY,2025-03-04,572.9814465763258,578.5955127414016,565.608011549554,570.1644897460938,109648200
SPY,2025-03-05,569.9964212260836,578.0913631561872,566.4283366011412,576.29248046875,71230500
SPY,2025-03-06,568.800429877349,573.4359958315716,563.5026574515875,566.0626220703125,80094900
SPY,2025-03-07,564.2736590980126,570.6883208259039,559.0648080255879,569.2353515625,81158800
SPY,2025-03-10,561.0021324297065,562.9294509409499,549.1414138289008,554.073486328125,99326600
SPY,2025-03-11,552.907117228081,557.473488465779,545.612771416854,549.4674682617188,88102100
SPY,2025-03-12,555.6449862636414,556.5740782812179,547.2634312637055,552.38330078125,69588200
SPY,2025-03-13,552.00772273254,552.6205217060727,543.2999808309211,545.019775390625,74079400
SPY,2025-03-14,549.655280917059,557.2857071377122,545.0889095501292,556.2775268554688,62660300
SPY,2025-03-17,556.2577597204585,563.097483760462,555.8228643209595,560.5671997070312,49008700
SPY,2025-03-18,558.2443952250169,558.4618730708418,552.5710286417288,554.50830078125,66041400
SPY,2025-03-19,556.2972851708735,564.3230320254004,555.1112014285828,560.54736328125,66556000
SPY,2025-03-20,556.7915499004863,563.9475069089323,556.0699818531248,558.9264526367188,62958200
SPY,2025-03-21,554.4514053360011,560.0129560782987,553.2121973894178,559.1107788085938,83763000
SPY,2025-03-24,565.8719462913679,570.1844265679264,565.2771506364932,569.1236572265625,58766800
SPY,2025-03-25,570.3331077369899,571.4335099767462,568.7370222712309,570.4917602539062,38355700
SPY,2025-03-26,570.2240858480267,571.3542581528293,562.293154038674,563.6810913085938,51848300
SPY,2025-03-27,562.2831944691987,565.971108987233,560.062543386952,562.18408203125,42164200
SPY,2025-03-28,560.6475137101825,561.3811152230641,550.2777985606353,550.8626708984375,71662700
SPY,2025-03-31,545.0829651282622,555.8690356187795,542.1484990140983,554.5604248046875,95328200
SPY,2025-04-01,552.6372621541935,558.0798545049701,548.8997911229003,556.1268310546875,54609600
SPY,2025-04-02,550.2579079318416,562.5211054527999,550.019989677278,559.6461791992188,76014500
SPY,2025-04-03,540.4037097995117,543.2390031081819,532.0663452148438,532.0663452148438,125986000
SPY,2025-04-04,519.1488461365848,521.3298644038904,500.69953122991006,500.9176330566406,217965100
SPY,2025-04-07,484.966562158496,518.6531751879934,477.64034947944,500.0254211425781,256611400
SPY,2025-04-08,517.3544574544211,520.4475157965463,484.93679417196097,492.193603515625,165816600
SPY,2025-04-09,489.17988772825765,543.8834838867188,488.7932402716448,543.8834838867188,241867300
SPY,2025-04-10,527.5754628052078,528.8939971161361,504.92276379554966,520.051025390625,162331200
SPY,2025-04-11,518.4945722506925,531.7986929533369,515.5799524923516,529.3302001953125,97866300
SPY,2025-04-14,539.3528832417228,539.580938661594,529.2508571038156,534.4654541015625,68034000
SPY,2025-04-15,535.0106570692674,538.5399188279399,532.175363851926,532.9684448242188,56892900
SPY,2025-04-16,527.0896882471153,533.2460954669957,515.7980102587055,521.1216430664062,83484800
