Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,SMA_20,SMA_50,RSI,Volatility
AMZN,2025-03-05,204.8000030517578,209.97999572753903,203.25999450683597,208.3600006103516,38610100,,208.3600006103516,208.3600006103516,,
AMZN,2025-03-06,204.3999938964844,205.7700042724609,198.3000030517578,200.6999969482422,49863800,-0.0368,204.52999877929688,204.52999877929688,,
AMZN,2025-03-07,199.4900054931641,202.2700042724609,192.52999877929688,199.25,59802800,-0.0072,202.7699991861979,202.7699991861979,,0.020930360723121808
AMZN,2025-03-10,195.6000061035156,196.72999572753903,190.8500061035156,194.5399932861328,62350900,-0.0236,200.71249771118164,200.71249771118164,,0.014828800805639454
AMZN,2025-03-11,193.8999938964844,200.17999267578125,193.3999938964844,196.58999633789065,54002900,0.0105,199.88799743652345,199.88799743652345,,0.020479156069851446
AMZN,2025-03-12,200.72000122070312,201.5200042724609,195.2899932861328,198.88999938964844,43679300,0.0117,199.72166442871094,199.72166442871094,,0.02120110846158757
AMZN,2025-03-13,198.1699981689453,198.8800048828125,191.82000732421875,193.88999938964844,41270800,-0.0251,198.88856942313058,198.88856942313058,,0.02005898801036583
AMZN,2025-03-14,197.41000366210935,198.6499938964844,195.32000732421875,197.9499969482422,38096700,0.0209,198.77124786376953,198.77124786376953,,0.022081472518186568
AMZN,2025-03-17,198.7700042724609,199.0,194.32000732421875,195.7400054931641,47341800,-0.0112,198.43444315592447,198.43444315592447,,0.020495156222176708
AMZN,2025-03-18,192.5200042724609,194.0,189.3800048828125,192.82000732421875,40414900,-0.0149,197.8729995727539,197.8729995727539,,0.019325271307568004
AMZN,2025-03-19,193.3800048828125,195.97000122070312,191.9600067138672,195.5399932861328,39442900,0.0141,197.660908092152,197.660908092152,,0.01956131102173085
AMZN,2025-03-20,193.07000732421875,199.32000732421875,192.3000030517578,194.9499969482422,38921100,-0.003,197.43499883015951,197.43499883015951,,0.018581931595455348
AMZN,2025-03-21,192.8999938964844,196.9900054931641,192.5200042724609,196.2100067138672,60056900,0.0065,197.3407686673678,197.3407686673678,,0.018073610009842495
AMZN,2025-03-24,200.0,203.63999938964844,199.9499969482422,203.25999450683597,41625400,0.0359,197.76357051304407,197.76357051304407,44.2,0.02066681968512417
AMZN,2025-03-25,203.6000061035156,206.2100067138672,203.22000122070312,205.7100067138672,31171200,0.0121,198.2933329264323,198.2933329264323,47.15,0.020196046017111238
AMZN,2025-03-26,205.83999633789065,206.00999450683597,199.92999267578125,201.1300048828125,32855300,-0.0223,198.47062492370605,198.47062492370605,50.5,0.020243228144599015
AMZN,2025-03-27,200.88999938964844,203.7899932861328,199.27999877929688,201.3600006103516,27317700,0.0011,198.6405881993911,198.6405881993911,52.5,0.01957379093754367
AMZN,2025-03-28,198.4199981689453,199.25999450683597,191.8800048828125,192.72000122070312,52548200,-0.0429,198.31166670057507,198.31166670057507,48.02,0.02139623042665666
AMZN,2025-03-31,188.19000244140625,191.3300018310547,184.3999938964844,190.25999450683597,63547600,-0.0128,197.88789447985198,197.88789447985198,43.19,0.02085239441745663
AMZN,2025-04-01,187.8600006103516,193.92999267578125,187.1999969482422,192.1699981689453,41267300,0.01,197.60199966430665,197.60199966430665,42.71,0.020548624404379986
AMZN,2025-04-02,187.66000366210935,198.33999633789065,187.66000366210935,196.00999450683597,53679200,0.02,196.98449935913087,197.52618989490327,52.36,0.020711082718400338
AMZN,2025-04-03,183.0,184.1300048828125,176.9199981689453,178.41000366210938,95553600,-0.0898,195.86999969482423,196.6572723388672,33.29,0.02754640104489724
AMZN,2025-04-04,167.14999389648438,178.13999938964844,166.0,171.0,123159400,-0.0415,194.4574996948242,195.54173875891644,30.57,0.02870133455543763
AMZN,2025-04-07,162.0,183.41000366210935,161.3800048828125,175.25999450683594,109327100,0.0249,193.49349975585938,194.69666608174643,36.49,0.029287017062532207
AMZN,2025-04-08,185.22999572753903,185.8999938964844,168.57000732421875,170.66000366210938,87710400,-0.0262,192.1970001220703,193.73519958496092,31.4,0.029427983012950895
AMZN,2025-04-09,172.1199951171875,192.6499938964844,169.92999267578125,191.1000061035156,116804300,0.1198,191.80750045776367,193.63384598952072,47.78,0.040728440858162525
AMZN,2025-04-10,185.44000244140625,186.8699951171875,175.85000610351562,181.22000122070312,68302000,-0.0517,191.17400054931642,193.17407396104602,42.14,0.04196484117373545
AMZN,2025-04-11,179.92999267578125,185.8600006103516,178.0,184.8699951171875,50594300,0.0201,190.52000045776367,192.87749971662248,40.0,0.04194168758997112
AMZN,2025-04-14,186.83999633789065,187.44000244140625,179.22999572753906,182.1199951171875,48002500,-0.0149,189.83899993896483,192.50655128215922,37.21,0.04198979669295613
AMZN,2025-04-15,181.41000366210935,182.3500061035156,177.92999267578125,179.58999633789062,43642000,-0.0139,189.17749938964843,192.07599945068358,38.06,0.041975191607976206
